//Tiempo de reloj multiplicación matrices secuencial//

[Threads Wall Time] N=3000 : 143.825
[Threads Wall Time] N=4000 : 370.432
[Threads Wall Time] N=5000 : 797.811
[Threads Wall Time] N=7000 : 3592.64


//Tiempo de reloj multiplicación matrices por procesos//

[Process Wall Time] N=100 : 0.00820899
[Process Wall Time] N=250 : 0.091068
[Process Wall Time] N=500 : 0.805037
[Process Wall Time] N=1000 : 8.47876
[Process Wall Time] N=1500 : 28.7712
[Process Wall Time] N=2000 : 90.3768
[Process Wall Time] N=2500 : 180.856
[Process Wall Time] N=3000 : 281.92
[Process Wall Time] N=4000 : 730.155
[Process Wall Time] N=5000 : 1340.19
[Process Wall Time] N=7000 : 3580.68
[Process Wall Time] N=100 : 0.00805092
[Process Wall Time] N=250 : 0.091835
[Process Wall Time] N=500 : 0.808472
[Process Wall Time] N=1000 : 8.25988
[Process Wall Time] N=1500 : 28.9291
[Process Wall Time] N=2000 : 91.1081
[Process Wall Time] N=2500 : 180.155
[Process Wall Time] N=3000 : 264.508
[Process Wall Time] N=4000 : 719.19
[Process Wall Time] N=5000 : 1335.5
[Process Wall Time] N=7000 : 3576.78
[Process Wall Time] N=100 : 0.00756502
[Process Wall Time] N=250 : 0.091208
[Process Wall Time] N=500 : 0.809157
[Process Wall Time] N=1000 : 8.23479
[Process Wall Time] N=1500 : 28.871
[Process Wall Time] N=2000 : 90.5923
[Process Wall Time] N=2500 : 179.805
[Process Wall Time] N=3000 : 282.82
[Process Wall Time] N=4000 : 741.615
[Process Wall Time] N=5000 : 1357.59
[Process Wall Time] N=7000 : 3582.95
[Process Wall Time] N=100 : 0.00781608
[Process Wall Time] N=250 : 0.09076
[Process Wall Time] N=500 : 0.799109
[Process Wall Time] N=1000 : 8.29121
[Process Wall Time] N=1500 : 29.0871
[Process Wall Time] N=2000 : 90.6928
[Process Wall Time] N=2500 : 180.604
[Process Wall Time] N=3000 : 286.651
[Process Wall Time] N=4000 : 743.842
[Process Wall Time] N=5000 : 1356.97
[Process Wall Time] N=7000 : 3580.94
[Process Wall Time] N=100 : 0.00746202
[Process Wall Time] N=250 : 0.0915542
[Process Wall Time] N=500 : 0.807961
[Process Wall Time] N=1000 : 8.37375
[Process Wall Time] N=1500 : 28.7243
[Process Wall Time] N=2000 : 91.1728
[Process Wall Time] N=2500 : 180.698
[Process Wall Time] N=3000 : 287.744
[Process Wall Time] N=4000 : 742.505
[Process Wall Time] N=5000 : 1356.48
[Process Wall Time] N=7000 : 3579.58
[Process Wall Time] N=100 : 0.0074439
[Process Wall Time] N=250 : 0.0921609
[Process Wall Time] N=500 : 0.804597
[Process Wall Time] N=1000 : 8.36038
[Process Wall Time] N=1500 : 28.942
[Process Wall Time] N=2000 : 90.7302
[Process Wall Time] N=2500 : 180.526
[Process Wall Time] N=3000 : 287.891
[Process Wall Time] N=4000 : 740.602
[Process Wall Time] N=5000 : 1344.22
[Process Wall Time] N=7000 : 3578.84

